City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
6,Namie,JP,77.72,overcast clouds,37.4833,141.0,いこいの村なみえ
8,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Takoradi,GH,76.82,broken clouds,4.8845,-1.7554,Raybow International Hotel
13,Warrington,GB,76.87,clear sky,53.3925,-2.5802,Villaggio Hotel
17,Nantucket,US,84.25,clear sky,41.2835,-70.0995,Jared Coffin House
20,Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
21,Atuona,PF,77.07,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
28,Kavieng,PG,81.68,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
32,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
34,Katsuura,JP,80.24,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
40,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
43,Guerrero Negro,MX,85.53,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
48,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
53,North Platte,US,86.11,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
54,Veraval,IN,80.1,overcast clouds,20.9,70.3667,Lords Inn Somnath
55,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
70,Hasaki,JP,75.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
72,Banda Aceh,ID,77.36,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
73,Faanui,PF,78.78,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Trincomalee,LK,78.82,overcast clouds,8.5711,81.2335,Welcombe Hotel
78,Khash,IR,78.49,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
79,Cururupu,BR,86.88,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
89,Butaritari,KI,81.39,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
90,Pine Bluff,US,87.1,clear sky,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff, an IHG Hotel"
94,Caraz,PE,75.36,few clouds,-9.0486,-77.81,Hostal La Alameda
95,Ponta Do Sol,PT,77.63,light rain,32.6667,-17.1,Hotel do Campo
98,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
103,Callaguip,PH,81.25,moderate rain,18.0714,120.4867,Pangil Beach Resort
107,Khatra,IN,82.27,overcast clouds,22.9833,86.85,Aranyak Resort Mukutmanipur
108,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
110,Tual,ID,80.74,broken clouds,-5.6667,132.75,Grand Vilia Hotel
112,Fredericton,CA,77.83,few clouds,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
119,Springfield,US,85.91,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
120,Garowe,SO,87.22,broken clouds,8.4054,48.4845,Curubo Hotel
122,Misratah,LY,86.81,scattered clouds,32.3754,15.0925,Almasa Hotel
126,Pacific Grove,US,77.38,clear sky,36.6177,-121.9166,Lovers Point Inn
131,Mirante Do Paranapanema,BR,85.1,clear sky,-22.2919,-51.9064,Pousada Estrela de Mirante do Paranapanema
136,Portland,US,77.05,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
139,Liverpool,GB,76.69,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
144,Bandarbeyla,SO,75.67,few clouds,9.4942,50.8122,JABIR HOTEL
146,Empalme,MX,86.92,broken clouds,27.9667,-110.8167,Casa de la mary
147,Moultrie,US,88.07,clear sky,31.1799,-83.7891,Moultrie Inn
160,Sterling,US,87.13,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
163,Barahona,DO,87.42,scattered clouds,18.2085,-71.1008,Hotel Caribe
168,Rabak,SD,80.01,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
169,Pearl River,US,85.6,clear sky,41.059,-74.0218,Hilton Pearl River
175,Labuhan,ID,79.23,clear sky,-6.8844,112.2051,DoubleFAG
176,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
177,Half Moon Bay,US,84.81,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
183,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
186,Chhindwara,IN,75.09,broken clouds,22.0667,78.9333,STARiHOTELS Chhindwara
189,Elizabeth City,US,87.04,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
192,Haimen,CN,78.69,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
195,Samarai,PG,79.11,broken clouds,-10.6167,150.6667,Nuli Sapi
196,Naze,JP,81.52,scattered clouds,28.3667,129.4833,Shishime Hotel
197,Pedernales,DO,83.48,scattered clouds,18.0384,-71.744,Hotel Costa Marina
199,Male,MV,78.75,broken clouds,4.1748,73.5089,Hotel Octave Maldives
200,Huixtla,MX,80.28,broken clouds,15.15,-92.4667,Rocky Point Sonoran Sky
201,Sinnamary,GF,84.76,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
207,Berea,US,82.85,few clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
212,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
214,Trat,TH,83.88,scattered clouds,12.5,102.5,สวนหนิง-อัศ
224,Robertson,US,85.75,clear sky,36.5167,-86.8667,Hampton Inn Springfield
228,Kutum,SD,86.32,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
229,Hilton Head Island,US,85.98,scattered clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
230,Robertsport,LR,77.63,light rain,6.7533,-11.3686,Kwepunha Retreat
232,Nouadhibou,MR,85.98,few clouds,20.931,-17.0347,El Medina
239,Hamilton,US,88.21,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
242,Eldorado,BR,84.54,clear sky,-23.7869,-54.2836,Villa Verde Hotel
243,Tezu,IN,75.87,overcast clouds,27.9167,96.1667,Circuit House
247,Vila Franca Do Campo,PT,79.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
