City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,65.17,78,48,14.81,scattered clouds
1,Taguatinga,BR,-12.3857,-46.5711,91.9,18,0,6.06,clear sky
2,Puerto Ayora,EC,-0.7393,-90.3518,73.36,90,96,8.99,overcast clouds
3,Jamestown,US,42.097,-79.2353,73.06,35,0,8.05,clear sky
4,Kovernino,RU,57.1253,43.8142,50.54,55,82,5.46,broken clouds
5,Port Elizabeth,ZA,-33.918,25.5701,75.09,75,0,4.61,clear sky
6,Namie,JP,37.4833,141.0,77.72,93,100,5.41,overcast clouds
7,Bluff,NZ,-46.6,168.3333,50.88,91,100,4.09,overcast clouds
8,Kapaa,US,22.0752,-159.319,77.32,83,40,12.66,scattered clouds
9,Kaitangata,NZ,-46.2817,169.8464,49.69,96,100,1.88,overcast clouds
10,Takoradi,GH,4.8845,-1.7554,76.82,82,51,10.09,broken clouds
11,Hermanus,ZA,-34.4187,19.2345,59.81,81,100,19.82,overcast clouds
12,Hobart,AU,-42.8794,147.3294,38.05,94,32,5.75,scattered clouds
13,Warrington,GB,53.3925,-2.5802,76.87,49,0,10.36,clear sky
14,Nikolskoye,RU,59.7035,30.7861,48.09,90,100,11.81,moderate rain
15,Rikitea,PF,-23.1203,-134.9692,71.78,79,5,8.84,clear sky
16,Ahipara,NZ,-35.1667,173.1667,48.94,83,99,5.39,overcast clouds
17,Nantucket,US,41.2835,-70.0995,84.25,50,0,16.11,clear sky
18,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,69,20,11.5,few clouds
19,Punta Arenas,CL,-53.15,-70.9167,46.51,53,75,27.63,broken clouds
20,Bengkulu,ID,-3.8004,102.2655,75.2,90,100,3.71,overcast clouds
21,Atuona,PF,-9.8,-139.0333,77.07,65,38,21.74,scattered clouds
22,Suhbaatar,MN,50.2314,106.2078,55.98,74,26,1.3,scattered clouds
23,Nampula,MZ,-15.1165,39.2666,68.2,54,82,9.69,broken clouds
24,Homer,US,59.6425,-151.5483,52.81,91,75,5.01,light rain
25,Hilo,US,19.7297,-155.09,74.28,84,100,4.61,moderate rain
26,Norman Wells,CA,65.282,-126.8329,57.24,77,75,12.66,broken clouds
27,Kruisfontein,ZA,-34.0033,24.7314,72.88,37,94,7.58,overcast clouds
28,Kavieng,PG,-2.5744,150.7967,81.68,72,100,14.29,overcast clouds
29,Utica,US,43.1009,-75.2327,70.68,61,68,3.0,broken clouds
30,Busselton,AU,-33.65,115.3333,54.16,75,100,15.9,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,48.2,98,97,1.99,overcast clouds
32,Ribeira Grande,PT,38.5167,-28.7,77.4,65,40,8.05,scattered clouds
33,Lashma,RU,54.9321,41.1438,50.13,60,99,4.09,overcast clouds
34,Katsuura,JP,35.1333,140.3,80.24,86,2,14.47,clear sky
35,Williston,US,48.147,-103.618,90.81,44,23,3.0,few clouds
36,Vaini,TO,-21.2,-175.2,68.16,94,20,6.91,few clouds
37,Asau,RO,46.4333,26.4,67.28,72,98,3.74,overcast clouds
38,Cape Town,ZA,-33.9258,18.4232,60.28,77,75,16.11,broken clouds
39,Esperance,AU,-33.8667,121.9,49.69,88,38,11.9,scattered clouds
40,Georgetown,MY,5.4112,100.3354,80.53,89,40,3.44,scattered clouds
41,Skjervoy,NO,70.0311,20.9714,48.2,70,12,9.55,few clouds
42,Fortuna,US,40.5982,-124.1573,54.99,96,100,3.44,overcast clouds
43,Guerrero Negro,MX,27.9769,-114.0611,85.53,48,0,6.78,clear sky
44,Kamenka,RU,51.3223,42.7678,61.84,77,100,1.95,overcast clouds
45,Ushuaia,AR,-54.8,-68.3,46.02,65,40,14.97,scattered clouds
46,Araouane,ML,18.9048,-3.5265,103.6,16,10,4.85,clear sky
47,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,82,20,11.5,few clouds
48,Denpasar,ID,-8.65,115.2167,78.46,88,20,6.91,few clouds
49,Saint George,US,37.1041,-113.5841,93.63,18,0,0.0,clear sky
50,Margate,GB,51.3813,1.3862,72.7,76,100,5.01,overcast clouds
51,Khatanga,RU,71.9667,102.5,36.57,97,100,13.69,light rain
52,Taoudenni,ML,22.6783,-3.9836,111.78,8,5,8.9,clear sky
53,North Platte,US,41.1239,-100.7654,86.11,42,0,7.0,clear sky
54,Veraval,IN,20.9,70.3667,80.1,82,87,8.08,overcast clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,56,0,19.57,clear sky
56,Bredasdorp,ZA,-34.5322,20.0403,58.73,80,100,8.01,overcast clouds
57,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,3.44,broken clouds
58,San Patricio,US,28.017,-97.5169,91.29,54,21,7.78,few clouds
59,Samagaltay,RU,50.6022,95.0047,53.24,55,75,5.86,broken clouds
60,Souillac,MU,-20.5167,57.5167,70.18,73,40,8.05,light rain
61,Saldanha,ZA,-33.0117,17.9442,57.25,88,99,9.33,overcast clouds
62,Vardo,NO,70.3705,31.1107,46.38,76,100,18.41,overcast clouds
63,Viransehir,TR,37.2353,39.7631,96.71,12,31,7.78,scattered clouds
